verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
P0V3-001	RTYPE-001	RTYPE	candidate	source_verified	P0-SRC-027	2026-09-10	BHA verifies Maiden race; exact eligibility remains jurisdiction-specific.
P0V3-002	RTYPE-007	RTYPE	candidate	source_verified	P0-SRC-027;P0-SRC-022	2026-09-10	Authority evidence supports handicap race and ability-based weight allocation.
P0V3-003	RTYPE-008	RTYPE	candidate	source_verified	P0-SRC-027	2026-09-10	BHA verifies Conditions race as a distinct race type.
P0V3-004	RTYPE-015	RTYPE	candidate	source_verified	P0-SRC-027;P0-SRC-028	2026-09-10	BHA/IFHA verify Listed as a recognized quality-race category.
P0V3-005	RTYPE-017	RTYPE	candidate	source_verified	P0-SRC-027;P0-SRC-028	2026-09-10	Group race hierarchy verified; Grade counterpart remains separate.
P0V3-006	RTYPE-018	RTYPE	candidate	source_verified	P0-SRC-027;P0-SRC-028	2026-09-10	Group 1 verified as highest Group tier.
P0V3-007	RTYPE-021	RTYPE	candidate	source_verified	P0-SRC-027;P0-SRC-028	2026-09-10	Grade race hierarchy verified; Group counterpart remains separate.
P0V3-008	RTYPE-022	RTYPE	candidate	source_verified	P0-SRC-027;P0-SRC-028	2026-09-10	Grade 1 verified as highest Grade tier.
P0V3-009	SURF-001	SURF	candidate	source_verified	P0-SRC-029	2026-09-10	JRA authority material verifies turf as a racing-surface class.
P0V3-010	SURF-003	SURF	candidate	source_verified	P0-SRC-029	2026-09-10	JRA authority material verifies dirt as a distinct racing-surface class; composition varies.
P0V3-011	SURF-011	SURF	candidate	source_verified	GBIRE-SRC-003	2026-09-10	BHA official Going taxonomy verifies the Concept in GB scope.
P0V3-012	SURF-012	SURF	candidate	source_verified	P0-SRC-029;REL-SRC-006	2026-09-10	JRA/Racing Victoria support official track-condition/rating systems; not globally identical to Going.
P0V3-013	SURF-015	SURF	candidate	source_verified	GBIRE-SRC-003;P0-SRC-029	2026-09-10	Good and JRA 良 are official condition labels in different systems; no exact global equivalence asserted.
P0V3-014	SURF-017	SURF	candidate	source_verified	GBIRE-SRC-003	2026-09-10	BHA verifies Soft as an official Going category.
P0V3-015	SURF-018	SURF	candidate	source_verified	GBIRE-SRC-003	2026-09-10	BHA verifies Heavy as an official Going category.
P0V3-016	MEET-001	MEET	candidate	source_verified	P0-SRC-030	2026-09-10	BHA current operations support Race meeting; France Meeting-series sense remains separate.
P0V3-017	MEET-003	MEET	candidate	source_verified	P0-SRC-031	2026-09-10	BHA verifies Fixture as a scheduled unit.
P0V3-018	MEET-004	MEET	candidate	source_verified	P0-SRC-030;P0-SRC-031	2026-09-10	Current BHA usage verifies Race day/raceday without merging it into Race meeting.
P0V3-019	MEET-006	MEET	candidate	source_verified	P0-SRC-032	2026-09-10	JRA annual schedule verifies authority-published racing-calendar concept.
P0V3-020	MEET-010	MEET	candidate	source_verified	P0-SRC-033	2026-09-10	USTA verifies race card as date/track grouped racing information.
P0V3-021	MEET-011	MEET	candidate	source_verified	P0-SRC-012;P0-SRC-033	2026-09-10	Official authority runner/card pages verify Racecard document concept.
P0V3-022	MEET-012	MEET	candidate	source_verified	P0-SRC-030;P0-SRC-032	2026-09-10	Authority materials verify race Programme/競馬番組 concept.
P0V3-023	MEET-016	MEET	candidate	source_verified	P0-SRC-031	2026-09-10	BHA directly verifies Fixture list publication.
P0V3-024	MEET-017	MEET	candidate	source_verified	P0-SRC-033;P0-SRC-010	2026-09-10	USTA/JRA support official entries information/list concept.
P0V3-025	MEET-018	MEET	candidate	source_verified	P0-SRC-026	2026-09-10	BHA verifies official declarations and their publication stage.
P0V3-026	MEET-019	MEET	candidate	source_verified	P0-SRC-011	2026-09-10	Racing Australia verifies Acceptances as a regional runner-confirmation information stage.
P0V3-027	MEET-025	MEET	candidate	source_verified	P0-SRC-034	2026-09-10	BHA publishes Stewards reports and enquiry records.
P0V3-028	MEET-026	MEET	candidate	source_verified	P0-SRC-035	2026-09-10	USTA explicitly identifies official-results completion state.
P0V3-029	MEET-027	MEET	candidate	source_verified	P0-SRC-033	2026-09-10	USTA publishes approximate Post time on entries; actual Off time remains separate.
P0V3-030	MEET-029	MEET	candidate	source_verified	P0-SRC-032;REL-SRC-004;REL-SRC-005	2026-09-10	Published scheduled start/off time is verified as distinct from actual Off time.
P0V3-031	MEET-035	MEET	candidate	source_verified	P0-SRC-030	2026-09-10	BHA current FAQ verifies abandoned fixtures; local procedural boundaries remain scoped.
P0V3-032	MEET-036	MEET	candidate	source_verified	P0-SRC-035	2026-09-10	USTA explicitly defines CANCELLED card status.
P0V3-033	MEET-037	MEET	candidate	source_verified	P0-SRC-030	2026-09-10	BHA verifies re-scheduling of races/fixtures.
P0V3-034	MEET-038	MEET	candidate	source_verified	REL-SRC-004;REL-SRC-005	2026-09-10	BHA actual-vs-scheduled off-time evidence verifies delayed start state.
P0V3-035	RESULT-001	RESULT	candidate	source_verified	P0-SRC-033;P0-SRC-035	2026-09-10	USTA authority data verifies race result/result-status concept.
P0V3-036	RESULT-002	RESULT	candidate	source_verified	P0-SRC-035	2026-09-10	USTA distinguishes official from unofficial results.
P0V3-037	RESULT-004	RESULT	candidate	source_verified	P0-SRC-037	2026-09-10	JRA defines 着順 as confirmed placing.
P0V3-038	RESULT-005	RESULT	candidate	source_verified	P0-SRC-036	2026-09-10	JRA official terminology maps winner to 1着馬.
P0V3-039	RESULT-007	RESULT	candidate	source_verified	P0-SRC-036	2026-09-10	JRA official terminology verifies dead heat/同着.
P0V3-040	RESULT-008	RESULT	candidate	source_verified	P0-SRC-039;P0-SRC-036	2026-09-10	JRA explains finish photography used to determine order and provides photo-finish terminology.
P0V3-041	RESULT-009	RESULT	candidate	source_verified	P0-SRC-037;P0-SRC-038	2026-09-10	JRA verifies formal inquiry/審議 affecting placing or validity decisions.
P0V3-042	RESULT-010	RESULT	candidate	source_verified	P0-SRC-034	2026-09-10	BHA verifies Stewards enquiries/reporting.
P0V3-043	RESULT-014	RESULT	candidate	source_verified	P0-SRC-038;P0-SRC-036	2026-09-10	JRA verifies disqualification/失格 as an adjudicative outcome.
P0V3-044	RESULT-015	RESULT	candidate	source_verified	P0-SRC-038;P0-SRC-036	2026-09-10	JRA verifies demotion/降着; regional relegation regimes remain separate.
P0V3-045	BET-001	BET	candidate	source_verified	P0-SRC-042	2026-09-10	JRA verifies odds as a payout-rate/multiple concept.
P0V3-046	BET-002	BET	candidate	source_verified	P0-SRC-043	2026-09-10	JRA bookmaker explanation verifies purchase-time fixed odds.
P0V3-047	BET-003	BET	candidate	source_verified	P0-SRC-043;P0-SRC-041	2026-09-10	JRA contrasts pari-mutuel and bookmaking; betting rules corroborate pool settlement.
P0V3-048	BET-009	BET	candidate	source_verified	P0-SRC-041	2026-09-10	JRA betting rules verify payout/払戻 concept.
P0V3-049	BET-010	BET	candidate	source_verified	P0-SRC-040	2026-09-10	JRA defines Win/単勝 as selecting the first-place horse.
P0V3-050	BET-011	BET	candidate	source_verified	P0-SRC-040	2026-09-10	JRA defines Place/複勝 with a field-size-dependent placing range; thresholds not globalized.
P0V3-051	BET-030	BET	candidate	source_verified	P0-SRC-044	2026-09-10	JRA official overseas terminology verifies favorite as 一番人気馬.
