verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
P1V2-001	HORSE-002	HORSE	candidate	source_verified	P1-SRC-010	2026-09-11	WAHO current 2026 definition anchors Purebred Arabian identity to an accepted Arabian Stud Book or Register.
P1V2-002	HORSE-003	HORSE	candidate	source_verified	P1-SRC-003;P1-SRC-029	2026-09-11	AQHA registration/racing evidence supports American Quarter Horse identity; scope narrowed to North America/Regional.
P1V2-003	HORSE-004	HORSE	candidate	source_verified	P1-SRC-011	2026-09-11	USTA identifies Standardbred as the breed used in harness racing.
P1V2-004	HORSE-011	HORSE	candidate	source_verified	P0-SRC-047	2026-09-11	Racing Australia current race-form legend supports Entire as an intact-male descriptor in Commonwealth usage.
P1V2-005	HORSE-019	HORSE	candidate	source_verified	P1-SRC-013	2026-09-11	JRA overseas dictionary maps Juvenile to young horse/two-year-old senses while the definition preserves jurisdiction-dependent age boundaries.
P1V2-006	HORSE-022	HORSE	candidate	source_verified	P1-SRC-012;P1-SRC-017;P1-SRC-001	2026-09-11	JRA/BHA evidence supports Maiden as a horse without the relevant prior win; exact eligibility remains code-specific.
P1V2-007	BREED-006	BREED	candidate	source_verified	P1-SRC-028	2026-09-11	JRA defines 繁殖牝馬 as a mare used for producing foals, supporting Broodmare semantics.
P1V2-008	BREED-016	BREED	candidate	source_verified	P1-SRC-010;P1-SRC-029;P1-SRC-030	2026-09-11	WAHO/AQHA/IFHA evidence supports formal horse registration into authority-maintained registries/stud books; requirements remain registry-specific.
P1V2-009	ROLE-002	ROLE	candidate	source_verified	P1-SRC-014;P1-SRC-015	2026-09-11	JRA and BHA maintain apprentice-jockey categories; exact licence and claim conditions remain jurisdiction-specific.
P1V2-010	ROLE-009	ROLE	candidate	source_verified	P1-SRC-030	2026-09-11	IFHA provides a formal Thoroughbred breeder criterion; canonical Concept remains a generic participant role with registry-specific rules.
P1V2-011	ROLE-012	ROLE	candidate	source_verified	P1-SRC-014;P1-SRC-032	2026-09-11	JRA defines stable-care duties and maps Groom to 厩務員.
P1V2-012	ROLE-017	ROLE	candidate	source_verified	P1-SRC-031;P1-SRC-018	2026-09-11	BHA defines the Starter's fair-start function; JRA separately maintains the 発走委員 role. Runner-sense starter remains distinct.
P1V2-013	ROLE-018	ROLE	candidate	source_verified	P1-SRC-031;P1-SRC-012;P1-SRC-018	2026-09-11	BHA/JRA evidence supports Judge as the official determining finishing order.
P1V2-014	ROLE-019	ROLE	candidate	source_verified	P1-SRC-017;P1-SRC-018	2026-09-11	JRA explains handicap weights as determined by handicappers and identifies the official function.
P1V2-015	ROLE-020	ROLE	candidate	source_verified	P1-SRC-016	2026-09-11	BHA current instructions support Clerk of the Course as a formal GB racecourse/raceday role.
P1V2-016	ROLE-022	ROLE	candidate	source_verified	P1-SRC-019;P1-SRC-018	2026-09-11	JRA maps Veterinarian to 獣医師 and maintains veterinary raceday functions; exact regulatory powers remain local.
P1V2-017	RUN-028	RUN	candidate	source_verified	P1-SRC-020	2026-09-11	Equibase standardized comments support Checked as a North American in-race chart term; scope narrowed accordingly.
P1V2-018	RUN-029	RUN	candidate	source_verified	P1-SRC-020	2026-09-11	Equibase standardized comments support Bumped as a North American contact-event chart term; scope narrowed accordingly.
P1V2-019	EQUIP-003	EQUIP	candidate	source_verified	P1-SRC-021	2026-09-11	BHA headgear regulations distinguish Visor from Blinkers by the eye-cup opening.
P1V2-020	EQUIP-004	EQUIP	candidate	source_verified	P1-SRC-021;P1-SRC-023	2026-09-11	BHA treats Hood as a distinct headgear type and JRA maps the label; scope kept regional.
P1V2-021	EQUIP-005	EQUIP	candidate	source_verified	P1-SRC-021;P1-SRC-022;P1-SRC-023	2026-09-11	BHA/JRA evidence supports Cheekpieces as distinct cheek-mounted headgear.
P1V2-022	EQUIP-006	EQUIP	candidate	source_verified	P1-SRC-022;P1-SRC-023	2026-09-11	JRA defines 舌縛り and maps Tongue tie; regulatory use is jurisdiction-specific.
P1V2-023	EQUIP-008	EQUIP	candidate	source_verified	P1-SRC-022;P1-SRC-023	2026-09-11	JRA defines Shadow roll placement/purpose and supplies the English mapping.
P1V2-024	EQUIP-012	EQUIP	candidate	source_verified	P1-SRC-022;P1-SRC-023	2026-09-11	JRA defines 頭絡 functionally and maps Bridle to the corresponding horse-gear term.
P1V2-025	TRAIN-004	TRAIN	candidate	source_verified	P1-SRC-033	2026-09-11	JRA maps Breezing to 馬なり in overseas-racing training terminology; workout-code semantics remain regional.
P1V2-026	TRAIN-005	TRAIN	candidate	source_verified	P1-SRC-033	2026-09-11	JRA maps Handily to 強めの調教; exact clocking conventions remain regional.
P1V2-027	TRAIN-007	TRAIN	candidate	source_verified	P1-SRC-033	2026-09-11	JRA maps Canter to キャンター／駈歩 in the training category without imposing a universal speed threshold.
P1V2-028	TRAIN-008	TRAIN	candidate	source_verified	P1-SRC-025	2026-09-11	Racing Victoria currently licenses Trackwork Riders and distinguishes trackwork levels; scope narrowed to Australia/Regional.
P1V2-029	TRAIN-013	TRAIN	candidate	source_verified	P1-SRC-025;P1-SRC-026	2026-09-11	Racing Victoria currently accredits Jump-Out riders and publishes a dedicated Jump-Outs schedule.
P1V2-030	BREED-017	BREED	candidate	retired_merge	P1-SRC-030	2026-09-11	Duplicate Breeder Concept retired into ROLE-009 because Breeder is a participant/person role; registry-specific breeder criteria remain in the canonical role definition.
