verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
P0V2-001	ENTRY-001	ENTRY	candidate	source_verified	P0-SRC-010	2026-09-10	JRA authority evidence for formal race entry; procedure remains jurisdiction-specific.
P0V2-002	ENTRY-003	ENTRY	candidate	source_verified	P0-SRC-026	2026-09-10	BHA authority evidence for declaration to run as a formal post-entry stage.
P0V2-003	ENTRY-006	ENTRY	candidate	source_verified	P0-SRC-012;P0-SRC-011	2026-09-10	Confirmed/post-acceptance runner lists support the final-field Concept without importing meeting-specific data.
P0V2-004	ENTRY-007	ENTRY	candidate	source_verified	P0-SRC-011	2026-09-10	Racing Australia Race Fields supports field as the runner set for a race.
P0V2-005	ENTRY-008	ENTRY	candidate	source_verified	P0-SRC-010	2026-09-10	JRA explicitly distinguishes applications from permissible runner numbers.
P0V2-006	ENTRY-015	ENTRY	candidate	source_verified	P0-SRC-013	2026-09-10	Racing Australia current scratching operations support Scratch/Scratching usage.
P0V2-007	ENTRY-017	ENTRY	candidate	source_verified	P0-SRC-014	2026-09-10	JRA 出走取消 supports withdrawal after entry; exact procedural boundary varies by system.
P0V2-008	ENTRY-018	ENTRY	candidate	source_verified	P0-SRC-015	2026-09-10	BHA current rules support Non-runner as a formal runner-status outcome.
P0V2-009	ENTRY-023	ENTRY	candidate	source_verified	P0-SRC-010	2026-09-10	JRA entry rules support race-specific eligibility requirements.
P0V2-010	VENUE-001	VENUE	candidate	source_verified	P0-SRC-016	2026-09-10	BHA directory supports Racecourse as a venue entity.
P0V2-011	VENUE-002	VENUE	candidate	source_verified	P0-SRC-017;REL-SRC-007;USCA-SRC-009	2026-09-10	USTA evidence supports Racetrack polysemy; no global merge with Racecourse.
P0V2-012	VENUE-003	VENUE	candidate	source_verified	P0-SRC-017;REL-SRC-007;USCA-SRC-009	2026-09-10	USTA evidence supports Track as venue/listing and physical-track terminology; polysemy retained.
P0V2-013	VENUE-004	VENUE	candidate	source_verified	P0-SRC-018	2026-09-10	JRA course geometry supports Course as the racing route/track layout.
P0V2-014	VENUE-012	VENUE	candidate	source_verified	P0-SRC-018;P0-SRC-019	2026-09-10	JRA course/facility material supports the final/home straight Concept.
P0V2-015	VENUE-015	VENUE	candidate	source_verified	P0-SRC-019	2026-09-10	JRA facility glossary supports Turn/Corner as curved course sections.
P0V2-016	VENUE-018	VENUE	candidate	source_verified	P0-SRC-020	2026-09-10	JRA 埒 glossary supports Rail as course-boundary fencing.
P0V2-017	VENUE-020	VENUE	candidate	source_verified	P0-SRC-021	2026-09-10	Racing Australia current meeting fields expose Rail Position as an operational setting.
P0V2-018	VENUE-022	VENUE	candidate	source_verified	P0-SRC-019	2026-09-10	JRA goal-board/finish guidance supports Finish line as the finishing-order reference line.
P0V2-019	VENUE-023	VENUE	candidate	source_verified	P0-SRC-018	2026-09-10	JRA course pages publish distance-specific starting points.
P0V2-020	VENUE-024	VENUE	candidate	source_verified	P0-SRC-019	2026-09-10	JRA facility glossary supports Starting gate apparatus.
P0V2-021	VENUE-025	VENUE	candidate	source_verified	P0-SRC-015	2026-09-10	BHA current start/non-runner rules use Starting stalls as the Flat starting apparatus.
P0V2-022	VENUE-027	VENUE	candidate	source_verified	P0-SRC-019	2026-09-10	JRA facility glossary supports Paddock as the pre-race parade/inspection area.
P0V2-023	VENUE-036	VENUE	candidate	source_verified	P0-SRC-018	2026-09-10	JRA course pages publish one-lap course distance, supporting Course circumference.
P0V2-024	VENUE-038	VENUE	candidate	source_verified	P0-SRC-018;P0-SRC-019	2026-09-10	JRA identifies left-handed courses and Tokyo's left-handed layout.
P0V2-025	VENUE-039	VENUE	candidate	source_verified	P0-SRC-019	2026-09-10	JRA distinguishes current right-handed main courses from left-handed courses.
P0V2-026	WEIGHT-001	WEIGHT	candidate	source_verified	P0-SRC-022;P0-SRC-024	2026-09-10	JRA/BHA authority evidence supports the core carried-weight Concept; included items remain rule-specific.
P0V2-027	WEIGHT-002	WEIGHT	candidate	source_verified	P0-SRC-022	2026-09-10	JRA authority material supports ability/performance-based handicap weight assignment.
P0V2-028	WEIGHT-003	WEIGHT	candidate	source_verified	P0-SRC-023;P0-SRC-024	2026-09-10	BHA current material supports the WFA scale; regional weight systems remain separate.
P0V2-029	WEIGHT-006	WEIGHT	candidate	source_verified	P0-SRC-023;P0-SRC-025	2026-09-10	BHA and JRA support rider-related weight allowances/reductions with jurisdiction-specific rules.
P0V2-030	WEIGHT-009	WEIGHT	candidate	source_verified	P0-SRC-023;P0-SRC-024	2026-09-10	BHA current race-condition material supports penalties that add weight.
