verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
P0V4-001	HORSE-001	HORSE	candidate	source_verified	P0-SRC-045;P0-SRC-046	2026-09-10	JRA/IFHA evidence supports Thoroughbred as a stud-book-defined breed; registry details remain authority-specific.
P0V4-002	HORSE-006	HORSE	candidate	source_verified	P0-SRC-047	2026-09-10	Current Racing Australia race-form legend verifies Colt as a sex/age descriptor.
P0V4-003	HORSE-007	HORSE	candidate	source_verified	P0-SRC-047	2026-09-10	Current Racing Australia race-form legend verifies Filly as a sex/age descriptor.
P0V4-004	HORSE-008	HORSE	candidate	source_verified	P0-SRC-047	2026-09-10	Current Racing Australia race-form legend verifies Mare as a sex descriptor.
P0V4-005	HORSE-009	HORSE	candidate	source_verified	P0-SRC-045;P0-SRC-047	2026-09-10	JRA breeding terminology and current Racing Australia sex codes support Stallion/entire adult-male context; breeding and sex senses remain context-aware.
P0V4-006	HORSE-010	HORSE	candidate	source_verified	P0-SRC-047	2026-09-10	Current Racing Australia race-form legend verifies Gelding.
P0V4-007	HORSE-016	HORSE	candidate	source_verified	P0-SRC-047	2026-09-10	Current official race-form age field verifies two-year-old age classification.
P0V4-008	HORSE-017	HORSE	candidate	source_verified	P0-SRC-047	2026-09-10	Current official race-form age field verifies three-year-old age classification.
P0V4-009	BREED-001	BREED	candidate	source_verified	P0-SRC-045;P0-SRC-046	2026-09-10	JRA/IFHA material supports pedigree/ancestry records within Thoroughbred registration.
P0V4-010	BREED-002	BREED	candidate	source_verified	P0-SRC-046;P0-SRC-047	2026-09-10	IFHA stud-book definition and Racing Australia breeding details verify Sire as paternal parent.
P0V4-011	BREED-003	BREED	candidate	source_verified	P0-SRC-046;P0-SRC-047	2026-09-10	IFHA stud-book definition and Racing Australia breeding details verify Dam as maternal parent.
P0V4-012	BREED-004	BREED	candidate	source_verified	P0-SRC-047	2026-09-10	Racing Australia current breeding display explicitly uses Sire - Dam (Sire of Dam), supporting Damsire.
P0V4-013	BREED-015	BREED	candidate	source_verified	P0-SRC-045;P0-SRC-046	2026-09-10	JRA and IFHA support official Stud Book as the recognized registration record for Thoroughbreds.
P0V4-014	ROLE-001	ROLE	candidate	source_verified	P0-SRC-048	2026-09-10	JRA describes jockey as the licensed person riding the horse in races.
P0V4-015	ROLE-005	ROLE	candidate	source_verified	P0-SRC-049	2026-09-10	USTA current regulatory materials distinguish Driver licensing in harness racing.
P0V4-016	ROLE-006	ROLE	candidate	source_verified	P0-SRC-048;P0-SRC-049	2026-09-10	JRA/USTA support Trainer as the registered/licensed person responsible for training/race preparation.
P0V4-017	ROLE-008	ROLE	candidate	source_verified	P0-SRC-048	2026-09-10	JRA owner guidance verifies Owner as the registered horse-owning participant.
P0V4-018	ROLE-016	ROLE	candidate	source_verified	P0-SRC-050	2026-09-10	JRA 裁決委員 duties support the generic Steward adjudication/fairness role; title equivalence remains jurisdiction-scoped.
P0V4-019	RUN-001	RUN	candidate	source_verified	P0-SRC-051	2026-09-10	Equibase official-industry race-comment terminology supports race start/break event.
P0V4-020	RUN-004	RUN	candidate	source_verified	P0-SRC-051;P0-SRC-052	2026-09-10	Equibase pace/commentary material verifies Pace as race/segment speed or tempo.
P0V4-021	RUN-006	RUN	candidate	source_verified	P0-SRC-051	2026-09-10	Equibase comments use lead/command terminology for the horse in front, supporting Leader.
P0V4-022	RUN-007	RUN	candidate	source_verified	P0-SRC-051	2026-09-10	Equibase race comments support Lead as the front position or advantage.
P0V4-023	RUN-009	RUN	candidate	source_verified	P0-SRC-052	2026-09-10	Equibase pace analysis uses front-running/front-runner classification.
P0V4-024	RUN-012	RUN	candidate	source_verified	P0-SRC-052	2026-09-10	Equibase pace analysis/glossary supports Closer as a late-running style.
P0V4-025	RUN-021	RUN	candidate	source_verified	P0-SRC-053	2026-09-10	JRA defines 最終コーナー as the last corner before the home straight.
P0V4-026	RUN-025	RUN	candidate	source_verified	P0-SRC-054	2026-09-10	JRA finish-line/goal-board material verifies Finish as race completion at the line.
P0V4-027	RUN-032	RUN	candidate	source_verified	P0-SRC-051;P0-SRC-055	2026-09-10	Equibase/JRA evidence supports Pulled up/競走中止 as ceasing to continue after the start; exact chart coding remains scoped.
P0V4-028	RUN-033	RUN	candidate	source_verified	P0-SRC-051	2026-09-10	Equibase official-industry comments verify Fell as a race incident/result descriptor.
P0V4-029	RUN-034	RUN	candidate	source_verified	P0-SRC-055	2026-09-10	JRA overseas results guide explicitly uses UNSEATED RIDER/落馬.
P0V4-030	RUN-038	RUN	candidate	source_verified	P0-SRC-049;P0-SRC-056	2026-09-10	USTA harness rule material supports breaking from gait/stride as a regulated harness-racing event.
P0V4-031	EQUIP-001	EQUIP	candidate	source_verified	P0-SRC-057	2026-09-10	JRA equipment glossary verifies Blinkers and their vision-limiting purpose.
P0V4-032	EQUIP-011	EQUIP	candidate	source_verified	P0-SRC-057	2026-09-10	JRA equipment glossary verifies Saddle as riding equipment.
P0V4-033	EQUIP-023	EQUIP	candidate	source_verified	P0-SRC-049	2026-09-10	USTA current regulatory page maintains Approved Sulkies and harness-racing equipment rules.
P0V4-034	TRAIN-001	TRAIN	candidate	source_verified	P0-SRC-058	2026-09-10	JRA glossary defines 攻め馬 as horse training, supporting generic Training in racing context.
P0V4-035	TRAIN-002	TRAIN	candidate	source_verified	P0-SRC-059	2026-09-10	JRA overseas dictionary maps Workout to 追い切り in racing/training context.
P0V4-036	TRAIN-011	TRAIN	candidate	source_verified	P0-SRC-060	2026-09-10	Current Racing Australia operations publish Barrier Trials as distinct trial events.
P0V4-037	TRAIN-012	TRAIN	candidate	source_verified	P0-SRC-060	2026-09-10	Current Racing Australia operations use Trials as a broader operational event class; jurisdiction-specific purposes remain scoped.
P0V4-038	PRIZE-001	PRIZE	candidate	source_verified	P0-SRC-061	2026-09-10	JRA owner guidance defines race prize payments and main prize money.
P0V4-039	PRIZE-002	PRIZE	candidate	source_verified	P0-SRC-062	2026-09-10	Equibase official-industry program help uses Purse as the North American race-prize amount.
P0V4-040	WELF-001	WELF	candidate	source_verified	P0-SRC-049;P0-SRC-056	2026-09-10	USTA regulatory/rule material provides for veterinary examinations of racehorses; frequency and timing remain jurisdiction-specific.
P0V4-041	WELF-007	WELF	candidate	source_verified	P0-SRC-063	2026-09-10	IFHA international agreement addresses medication/treatment controls in racing horses.
P0V4-042	WELF-008	WELF	candidate	source_verified	P0-SRC-063	2026-09-10	IFHA international agreement defines/control-lists prohibited substances in racing regulation.
P0V4-043	WELF-009	WELF	candidate	source_verified	P0-SRC-063	2026-09-10	IFHA international agreement covers sample analysis, laboratories and positive findings, supporting drug-testing concept.
P0V4-044	WELF-012	WELF	candidate	source_verified	P0-SRC-063	2026-09-10	IFHA international agreement includes international horse-welfare principles and regulatory expectations.
