verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
P0V1-001	DISC-001	DISC	candidate	source_verified	P0-SRC-001	2026-09-10	BHA authority evidence for Flat as a distinct racing code; global definition remains deliberately generic.
P0V1-002	DISC-002	DISC	candidate	source_verified	P0-SRC-002	2026-09-10	IFHA authority evidence for the international sport of thoroughbred racing.
P0V1-003	DISC-003	DISC	candidate	source_verified	P0-SRC-001	2026-09-10	BHA authority evidence for Jump as a distinct racing code involving jumps/fences.
P0V1-004	DISC-008	DISC	candidate	source_verified	P0-SRC-003	2026-09-10	USTA authority explainer for harness racing with racebike and driver.
P0V1-005	DISC-009	DISC	candidate	source_verified	P0-SRC-004	2026-09-10	USTA gait definition for trotting.
P0V1-006	DISC-010	DISC	candidate	source_verified	P0-SRC-004	2026-09-10	USTA gait definition for pacing.
P0V1-007	DISC-014	DISC	candidate	source_verified	P0-SRC-005	2026-09-10	Banei Tokachi official definition of Banei racing.
P0V1-008	DIST-001	DIST	candidate	source_verified	P0-SRC-006	2026-09-10	IFHA international race-distance field and measurement guidance.
P0V1-009	DIST-002	DIST	candidate	source_verified	P0-SRC-006	2026-09-10	IFHA international metric distance usage.
P0V1-010	DIST-004	DIST	candidate	source_verified	P0-SRC-006	2026-09-10	IFHA furlong/mile comparative race-distance table.
P0V1-011	DIST-005	DIST	candidate	source_verified	P0-SRC-006	2026-09-10	IFHA mile/furlong comparative race-distance table.
P0V1-012	DIST-007	DIST	candidate	source_verified	P0-SRC-007	2026-09-10	JRA official finishing-margin terminology using 馬身.
P0V1-013	DIST-009	DIST	candidate	source_verified	P0-SRC-007	2026-09-10	JRA official finishing-margin terminology using クビ.
P0V1-014	DIST-010	DIST	candidate	source_verified	P0-SRC-007	2026-09-10	JRA official finishing-margin terminology using アタマ.
P0V1-015	DIST-012	DIST	candidate	source_verified	P0-SRC-007	2026-09-10	JRA official finishing-margin terminology using ハナ and nose-point basis.
P0V1-016	DIST-014	DIST	candidate	source_verified	P0-SRC-008;P0-SRC-009	2026-09-10	BHA sectional-timing explanation corroborated by JRA 200m 区間タイム display guidance.
