verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
P1V1-001	DISC-004	DISC	candidate	source_verified	P1-SRC-001;P1-SRC-002	2026-09-10	BHA and IHRB current material support National Hunt as the GB/IRE jump-racing system label.
P1V1-002	DISC-005	DISC	candidate	source_verified	P1-SRC-001;GBIRE-SRC-008	2026-09-10	Current BHA/IHRB material operationally distinguishes Hurdle races; detailed hurdle specifications remain local.
P1V1-003	DISC-006	DISC	candidate	source_verified	P1-SRC-001	2026-09-10	BHA current guidance distinguishes Steeplechase races from Hurdle and National Hunt Flat races.
P1V1-004	DISC-012	DISC	candidate	source_verified	AH-SRC-001;AH-SRC-002	2026-09-10	IFAHR international result/calendar systems establish Arabian racing as an active international discipline.
P1V1-005	DISC-013	DISC	candidate	source_verified	P1-SRC-003	2026-09-10	AQHA authority evidence supports American Quarter Horse racing; jurisdiction scope narrowed to North America/Regional.
P1V1-006	ENTRY-002	ENTRY	candidate	source_verified	AUNZ-SRC-001;P1-SRC-007	2026-09-10	Australian rules/current programme evidence support Nomination as a formal pre-field registration stage.
P1V1-007	ENTRY-004	ENTRY	candidate	source_verified	GBIRE-SRC-001;P0-SRC-026	2026-09-10	BHA material supports final declarations as a distinct post-entry declaration stage.
P1V1-008	ENTRY-005	ENTRY	candidate	source_verified	P0-SRC-011;AUNZ-SRC-008	2026-09-10	Australia/NZ authority material supports Acceptance as a formal runner-confirmation stage.
P1V1-009	ENTRY-010	ENTRY	candidate	source_verified	P1-SRC-007;AUNZ-SRC-009	2026-09-10	Current Australian programme data exposes Ballot order; NZTR maintains balloting conditions.
P1V1-010	ENTRY-012	ENTRY	candidate	source_verified	GBIRE-SRC-009	2026-09-10	IHRB current operational page explicitly records Reserve Declarations and reserve replacement intent.
P1V1-011	ENTRY-016	ENTRY	candidate	source_verified	P0-SRC-013;AUNZ-SRC-007	2026-09-10	Racing Australia/Queensland current operations explicitly publish scratchings.
P1V1-012	VENUE-005	VENUE	candidate	source_verified	P1-SRC-007;P1-SRC-008	2026-09-10	Current Racing Australia programme pages explicitly label Main Track.
P1V1-013	VENUE-006	VENUE	candidate	source_verified	P1-SRC-004;P1-SRC-005	2026-09-10	JRA current course pages explicitly distinguish inner-course layouts.
P1V1-014	VENUE-007	VENUE	candidate	source_verified	P1-SRC-004;P1-SRC-005	2026-09-10	JRA current course pages explicitly distinguish outer-course layouts.
P1V1-015	VENUE-008	VENUE	candidate	source_verified	P1-SRC-005	2026-09-10	JRA Niigata current course page explicitly identifies a turf straight course.
P1V1-016	VENUE-037	VENUE	candidate	source_verified	P1-SRC-004;P1-SRC-005	2026-09-10	JRA current course data publishes course width values.
P1V1-017	DIST-015	DIST	candidate	source_verified	USCA-SRC-004	2026-09-10	Equibase Full Charts explicitly define split times between points of call.
P1V1-018	DIST-019	DIST	candidate	source_verified	P0-SRC-009	2026-09-10	JRA results guidance explicitly publishes final 3F timing.
P1V1-019	DIST-020	DIST	candidate	source_verified	P1-SRC-006	2026-09-10	JRA official glossary defines course records by course/surface/distance/age conditions.
P1V1-020	DIST-021	DIST	candidate	source_verified	USCA-SRC-004	2026-09-10	Equibase Full Charts explicitly publish track-record information.
P1V1-021	WEIGHT-004	WEIGHT	candidate	source_verified	AUNZ-SRC-005;AUNZ-SRC-006;P1-SRC-007	2026-09-10	Current Racing Australia programmes explicitly use Set Weights.
P1V1-022	WEIGHT-005	WEIGHT	candidate	source_verified	P1-SRC-008	2026-09-10	Current Racing Australia acceptances explicitly use Set Weights plus Penalties.
P1V1-023	WEIGHT-007	WEIGHT	candidate	source_verified	GBIRE-SRC-004;GBIRE-SRC-005;AUNZ-SRC-002	2026-09-10	BHA and Racing Victoria current material support apprentice claims/allowances reducing carried weight.
P1V1-024	WEIGHT-011	WEIGHT	candidate	source_verified	AUNZ-SRC-002	2026-09-10	Racing Victoria current handicapping policy uses top weight/topweight for the upper end of the weight scale.
P1V1-025	WEIGHT-013	WEIGHT	candidate	source_verified	AUNZ-SRC-002;P1-SRC-009	2026-09-10	Racing Victoria/Racing Australia explicitly publish minimum weights.
P1V1-026	WEIGHT-015	WEIGHT	candidate	source_verified	AUNZ-SRC-002;P1-SRC-009	2026-09-10	Racing Victoria explains assigned rating-derived weights and Racing Australia publishes runner Weight values.
P1V1-027	WEIGHT-018	WEIGHT	candidate	source_verified	GBIRE-SRC-009	2026-09-10	IHRB current procedure explicitly requires declaration of rider overweight.
P1V1-028	DIST-013	DIST	candidate	retired_merge	P0-SRC-036	2026-09-10	Dead heat distance is not a distinct distance Concept; merged into source-verified RESULT-007 Dead heat and malformed seed label retired.
P1V1-029	WEIGHT-010	WEIGHT	candidate	retired_merge	P0-SRC-023;P0-SRC-024	2026-09-10	Weight penalty is semantically the same added-weight penalty as WEIGHT-009; useful label retained through Concept disposition.
