source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
HKKR-SRC-001	Hong Kong	HKJC	official_rules	Rules of Racing and Instructions 2025/2026	https://racing.hkjc.com/general/-/media/Sites/JCRW/Page/Equipment-Racing-Rules/en/Rules-content-2025_e.pdf	2026-09-10	2025_26_current_season	Griffin; Barrier Trials; Stalls Tests; Maiden; Entry; Declaration; Handicap	Current-season rulebook for formal definitions.
HKKR-SRC-002	Hong Kong	HKJC	official_course_reference	Course Information	https://racing.hkjc.com/racing/english/racing-info/racing_course.asp	2026-09-10	current_reference	Turf Going scale; penetrometer readings; AWT conditions; Clegg hammer; course configurations	Primary course/condition reference.
HKKR-SRC-003	Hong Kong	HKJC	official_fixture	Fixture 2026	https://racing.hkjc.com/en-us/local/information/fixture	2026-09-10	current_2026	Class 1-5; Griffins; rating bands; AWT; Cup/Priority/Special condition notation	Current programme evidence; class bands can vary by individual race conditions.
HKKR-SRC-004	Hong Kong	HKJC	official_results	Local Results 2026	https://racing.hkjc.com/en-us/local/information/resultsall	2026-09-10	current_2026	Class 3-5; Griffin Race; Going; racecard/result labels	Operational evidence.
HKKR-SRC-005	Hong Kong	HKJC	official_results	Class 1 result example 2026-02-01	https://racing.hkjc.com/en-us/local/information/displaysectionaltime?RaceNo=3&racedate=01%2F02%2F2026	2026-09-10	current_2026	Class 1; 110-85; sectional time	Do not turn one observed rating band into a timeless universal class boundary.
HKKR-SRC-006	Hong Kong	HKJC	official_results	Class 2 result example 2026-06-07	https://racing.hkjc.com/en-us/local/information/localresults?RaceNo=10&Racecourse=ST&racedate=2026%2F06%2F07	2026-09-10	current_2026	Class 2; 100-80	Operational example.
HKKR-SRC-007	Hong Kong	HKJC	official_bilingual_report	競賽事件報告 2026-06-13	https://racing.hkjc.com/zh-hk/local/information/racereportfull?Date=2026%2F06%2F13	2026-09-10	current_2026	好地至黏地; 黏地; 全天候跑道; 封地; 度地儀指數; 硬度計指數; 新馬賽; 平磅賽	Traditional-Chinese operational terminology.
HKKR-SRC-008	Hong Kong	HKJC	official_profile	Horse profile / import type	https://racing.hkjc.com/en-us/local/information/performance?horseid=HK_2026_M093	2026-09-10	current_2026	PPG import type; rating	Operational label only; formal expansion should be separately sourced before publication.
HKKR-SRC-009	Korea	KRA	official_annual_plan	2026년 경마시행계획	https://race.kra.co.kr/down/raceplan2026_20260516.pdf	2026-09-10	current_2026	1-6등급; 레이팅; 대상경주; 특별경주; 일반경주; 마령중량; 별정 A/B/C; 핸디캡중량; 국산마/외산마	Primary current KRA racing-system source.
HKKR-SRC-010	Korea	KRA	official_glossary	경마용어검색	https://race.kra.co.kr/raceguide/RaceWordSearchService.do	2026-09-10	current_reference	1528-entry KRA glossary; 부담중량; 주로상태; 국산마; 출마등록; 전검량; 마령중량	Large official terminology corpus; entries may include international/historical definitions and therefore need usage-currentness review.
HKKR-SRC-011	Korea	KRA	official_horse_database	경주마프로필/등급별 검색	https://m.kra.co.kr/race/bukyeong/horsenameKinds.do	2026-09-10	current_reference	외산마/국산마; 1-6등급; 미검	Operational horse-class labels.
HKKR-SRC-012	Korea	KRA	official_public_disclosure	2026 경마시행 및 발매 개요	https://www.kra.co.kr/op/pu/07/oppu0701.do?menuId=skr03_skr032_skr0321	2026-09-10	current_2026	Current racecourses; meeting scale	Freshness/context source.
HKKR-SRC-013	Hong Kong	HKJC	official_fixture_zh	今季賽期表	https://racing.hkjc.com/zh-hk/local/information/fixture	2026-09-10	current_2026	第一班; 第二班; 第三班; 第四班; 第五班; 新馬賽; 全天候跑道	Current Traditional-Chinese programme labels.
HKKR-SRC-014	Hong Kong	HKJC	official_race_report	Racing Incident Report 2026-07-04	https://racing.hkjc.com/en-us/local/information/racereportfull?Date=2026%2F07%2F04	2026-09-10	current_2026	GOOD TO YIELDING; WET FAST; retrospective track classification; Griffin Race	Current operational evidence for HK Good to Yielding and AWT state changes.
