source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
P1-SRC-010	International	World Arabian Horse Organization	official_definition	Arabian Horse Definition 2026	https://www.waho.org/arabian-horse-definition/	2026-09-11	current_2026	Arabian horse; Purebred Arabian; Stud Book; Register	WAHO defines a Purebred Arabian horse through appearance in a WAHO-accepted Purebred Arabian Stud Book or Register. Use for breed identity, not race eligibility by itself.
P1-SRC-011	US/International	United States Trotting Association	national_breed_registry	What Is Harness Racing? / What Is a Standardbred?	https://fanguide.ustrotting.com/what-is-harness-racing.cfm	2026-09-11	current_reference	Standardbred; Harness racing	USTA identifies Standardbred as the specific horse breed used in harness racing and describes the breed. Registry scope is North American; the core breed term is not treated as a jurisdiction-specific synonym.
P1-SRC-012	Japan/International	JRA	official_overseas_dictionary	競走 — 海外競馬英和辞典	https://www.jra.go.jp/keiba/overseas/yougo/c10060_list.html	2026-09-11	current_reference	Maiden; Judge; race-running terminology	JRA overseas dictionary maps maiden to 未出走・未勝利 and judge to 決勝審判委員. Use with jurisdiction rules for exact eligibility semantics.
P1-SRC-013	Japan	JRA	official_overseas_dictionary	J — 海外競馬英和辞典	https://www.jra.go.jp/keiba/overseas/yougo/j_list.html	2026-09-11	current_reference	Juvenile; Judge	JRA maps juvenile to 若馬・2歳馬 and judge to 決勝審判委員, demonstrating the age sense while preserving jurisdiction dependence.
P1-SRC-014	Japan	JRA	official_glossary	競馬に関わる人々	https://www.jra.go.jp/kouza/yougo/c10120_list.html	2026-09-11	current_reference	Apprentice jockey; Groom; Judge; Breeder; racing personnel	JRA defines 見習騎手 and 厩務員 and describes 決勝審判 and other racing participants. English labels are corroborated separately where necessary.
P1-SRC-015	GB	British Horseracing Authority	official_licensing	Jockeys — Licensing	https://www.britishhorseracing.com/regulation/licensing/jockeys/	2026-09-11	current_2026	Apprentice jockey; Conditional jockey; Professional jockey; Amateur rider	Current BHA licensing page explicitly distinguishes Apprentice and Conditional Jockeys from full professional and amateur riders.
P1-SRC-016	GB	British Horseracing Authority	official_general_instruction	Appointment of the Clerk of the Course	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section6_Appointment_of_Stewards_%26_Clerks_of_the_Course.pdf	2026-09-11	current_reference	Clerk of the course	BHA instruction requires appointment of a Clerk of the Course for each meeting and assigns raceday duties under the Rules.
P1-SRC-017	Japan	JRA	official_glossary	レースの種類、条件など	https://www.jra.go.jp/kouza/yougo/c10020_list.html	2026-09-11	current_reference	Handicapper; Maiden horse; racing conditions	JRA explains handicap weight as determined by handicappers and separately defines 未勝利 status. English Handicapper label is treated as the generic functional role.
P1-SRC-018	Japan	JRA	official_glossary	開催執務委員	https://www.jra.go.jp/kouza/yougo/w293.html	2026-09-11	current_reference	Starter; Judge; Handicapper; Veterinary officer	JRA lists the official raceday functions including 発走委員, 決勝審判委員, ハンデキャップ作成委員 and 獣医委員. Use as Japanese institutional evidence, not global title equivalence.
P1-SRC-019	Japan/International	JRA	official_overseas_dictionary	馬、獣医 — 海外競馬英和辞典	https://www.jra.go.jp/keiba/overseas/yougo/c10050_list.html	2026-09-11	current_reference	Veterinarian; Farrier; Horse	JRA maps veterinarian to 獣医師 and farrier to 装蹄師; also records the polysemous horse sense.
