source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
P0-SRC-027	GB	British Horseracing Authority	official_race_type_glossary	Glossary of race types	https://www.britishhorseracing.com/regulation/glossary-of-race-types/	2026-09-10	current_reference	Maiden; Handicap; Conditions race; Listed; Group/Grade hierarchy	BHA defines Maiden, Handicap and Conditions races and describes the Pattern hierarchy, Group/Grade levels and Listed races. Jurisdiction-specific eligibility details remain scoped.
P0-SRC-028	International	IFHA	international_agreement	IABRW Article 1 — Recognition and Categorization of Quality Races	https://www.ifhaonline.org/default.asp?area=2&section=IABRW	2026-09-10	current_reference	Group 1/Grade 1; Group/Grade quality-race categories; Listed	IFHA provides the international framework for Group/Grade quality-race categorization. Use for hierarchy/category existence, not to collapse regional Group and Grade labels.
P0-SRC-029	Japan	JRA	official_track_condition_guide	馬場状態に関する基礎知識	https://www.jra.go.jp/keiba/baba/condition/	2026-09-10	current_reference	Turf; Dirt; Track condition; Good/良	JRA explains turf and dirt course structures and the four-stage JRA track-condition system. Japanese 良 is jurisdiction-specific and is not asserted to be globally identical to every Good category.
P0-SRC-030	GB	British Horseracing Authority	official_faq	FAQs — Raceday operations and race planning	https://www.britishhorseracing.com/about/faqs/	2026-09-10	current_reference	Race meeting; Race day/raceday; race programme; abandoned; rescheduled; race times	BHA current FAQ uses race meeting/raceday, race programmes, abandoned fixtures and re-scheduled races and explains planned race times.
P0-SRC-031	GB	British Horseracing Authority	official_fixture_list	British Horseracing Authority publishes 2027 fixture list	https://www.britishhorseracing.com/press_releases/british-horseracing-authority-publishes-2027-fixture-list/	2026-09-10	current_2027	Fixture; Fixture list; Raceday	BHA published 1,440 scheduled fixtures for 2027 and explicitly names the full fixture list and Premier Racedays.
P0-SRC-032	Japan	JRA	official_calendar	開催日程 2026	https://www.jra.go.jp/keiba/calendar2026/index.html	2026-09-10	current_2026	Racing calendar; Programme; Scheduled start time	JRA annual schedule exposes meeting dates, daily programmes and published race start times. Use as one authority implementation of calendar/programme concepts.
P0-SRC-033	US	United States Trotting Association	national_harness_authority_guide	USTA Racing tutorial	https://racing.ustrotting.com/tutorial.aspx	2026-09-10	current_reference	Card; Entries list; Results; Post time; race programme	USTA organizes entries/results as race cards, publishes approximate post times, results and race-program/card status. Harness-specific implementation supports generic document/time concepts without making US usage globally normative.
P0-SRC-034	GB	British Horseracing Authority	official_stewards_reports	Stewards reports	https://www.britishhorseracing.com/racing/stewards-reports/	2026-09-10	current_reference	Stewards' report; Stewards' inquiry	BHA publishes current Stewards reports and enquiry/report records with racecourse/date context.
P0-SRC-035	US	United States Trotting Association	national_harness_authority_codes	Entries & Results Abbreviation Codes	https://racing.ustrotting.com/abbrcodes.aspx	2026-09-10	current_reference	Official result; Cancelled; Entries; race/card status	USTA distinguishes ENTRIES, RACING IN PROGRESS, RESULTS COMPLETED and CANCELLED; completed means uncancelled races have official results.
P0-SRC-036	Japan	JRA	official_racing_dictionary	海外競馬英和辞典 — 競走	https://www.jra.go.jp/keiba/overseas/yougo/c10060_list.html	2026-09-10	current_reference	Winner; Dead heat; Photo finish; Demotion; Disqualification; official result terminology	JRA's overseas racing dictionary maps racing terms including winner, dead heat, photo finish, demotion, disqualification and official/unofficial result language.
P0-SRC-037	Japan	JRA	official_glossary	競馬用語辞典 — レース、騎乗技術など	https://www.jra.go.jp/kouza/yougo/c10010_list.html	2026-09-10	current_reference	Placing/着順; Inquiry/審議; result adjudication	JRA defines 着順 as the confirmed placing and 審議 as official review where placing changes, disqualification or race invalidation may be considered.
P0-SRC-038	Japan	JRA	official_adjudication_rules	降着・失格のルール解説	https://www.jra.go.jp/judge/	2026-09-10	current_reference	Demotion/降着; Disqualification/失格; Inquiry	JRA explains current demotion and disqualification standards and the circumstances in which the inquiry lamp is shown.
P0-SRC-039	Japan	JRA	official_glossary	決勝写真撮影カメラ	https://www.jra.go.jp/kouza/yougo/w495.html	2026-09-10	current_reference	Photo finish	JRA explains line-scan finish photography and its use by finishing judges to determine order at the finish line.
P0-SRC-040	Japan	JRA	official_betting_education	馬券の種類：はじめての方へ	https://www.jra.go.jp/kouza/beginner/baken/	2026-09-10	current_reference	Win bet; Place bet	JRA defines 単勝 as selecting the winner and 複勝 as selecting a horse to finish within the applicable placing range; exact place range depends on field size.
P0-SRC-041	Japan	JRA	official_betting_rules	馬券のルール	https://www.jra.go.jp/kouza/baken/	2026-09-10	current_reference	Payout; Pari-mutuel pool operation; betting settlement	JRA publishes payout rules and payout-rate calculations for its pool betting system. Use for the generic payout concept and as corroboration for pari-mutuel operation.
P0-SRC-042	Japan	JRA	official_glossary	オッズ	https://www.jra.go.jp/kouza/yougo/w406.html	2026-09-10	current_reference	Odds; payout multiple	JRA defines odds as the approximate payout rate and displays them as a multiple per 100-yen stake; jurisdiction-specific display convention is not made global.
P0-SRC-043	Japan	JRA	official_glossary	ブックメーカー	https://www.jra.go.jp/kouza/yougo/w12.html	2026-09-10	current_reference	Fixed odds; Pari-mutuel	JRA explicitly contrasts pari-mutuel and bookmaking systems and states bookmaker payouts use the odds fixed when the bet was purchased.
P0-SRC-044	Japan	JRA	official_overseas_dictionary	favorite	https://www.jra.go.jp/keiba/overseas/yougo/w102.html	2026-09-10	current_reference	Favorite	JRA maps favorite to 一番人気馬. Spelling variants and market-mechanics detail remain handled separately in the label/relation layers.
