source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
P0-SRC-010	Japan	JRA	official_owner_faq	5.競走（出走）— 出馬投票・出走可能頭数・出走資格	https://www.jra.go.jp/owner/members/faq/category_e.html	2026-09-10	current_reference	Entry; Field size; Eligibility	JRA explains trainer-submitted 出馬投票, selection when applications exceed 出走可能頭数, and race-specific eligibility restrictions. Use as one jurisdiction's authority evidence for generic entry/field-size/eligibility Concepts.
P0-SRC-011	Australia	Racing Australia	industry_national_operations	StableAssist User Guide	https://www.racingaustralia.horse/StableAssist/UserGuide.aspx	2026-09-10	current_reference	Field; race fields; Acceptances; Scratchings	Racing Australia exposes Race Fields after nomination/weight/acceptance releases and explains acceptance and scratching transactions.
P0-SRC-012	Japan/International	JRA	official_racecard	2026 Champions Mile racecard — confirmed runners	https://www.jra.go.jp/keiba/overseas/race/2026hkch/cm/syutsuba.html	2026-09-10	current_2026	Final field; confirmed runners	JRA labels the displayed racecard as 出走馬確定後の出馬表, supporting a final/confirmed field Concept without importing meeting-specific data into the master.
P0-SRC-013	Australia	Racing Australia	industry_national_operations	Scratching Release Information	https://racingaustralia.horse/FreeFields/ScratchingReleaseInformation.aspx	2026-09-10	current_reference	Scratch; Scratching	Racing Australia publishes interim/final scratchings and describes trainer scratching transactions.
P0-SRC-014	Japan	JRA	official_glossary	競馬用語辞典 — 出走取消	https://www.jra.go.jp/kouza/yougo/si_list.html	2026-09-10	current_reference	Withdrawal; race withdrawal	JRA defines 出走取消 as a horse ceasing to run after entry and before paddock admission with steward approval; supports the generic withdrawal Concept while Scratch remains separately evidenced in Australia.
P0-SRC-015	GB	British Horseracing Authority	official_rule_explainer	Blog: Non-runners at the start	https://www.britishhorseracing.com/non-runners-at-the-start/	2026-09-10	current_2026	Non-runner; starting stalls	BHA explains when Stewards may declare a horse a non-runner and contrasts races started from starting stalls with other starting methods.
P0-SRC-016	GB	British Horseracing Authority	official_directory	Racecourses	https://www.britishhorseracing.com/racing/racecourses/	2026-09-10	current_2026	Racecourse	BHA treats racecourses as venue entities with location, fixture type, handedness and next fixture; supports facility-level Racecourse Concept.
P0-SRC-017	US	USTA	national_harness_authority_guide	USTA Racing tutorial	https://racing.ustrotting.com/tutorial.aspx	2026-09-10	current_reference	Racetrack; Track	USTA uses racetrack/track for searchable racing venue entities and cards. Physical-track senses remain separately scope-bounded by the existing relation layer.
P0-SRC-018	Japan	JRA	official_racecourse_course_page	東京競馬場 コース紹介	https://www.jra.go.jp/facilities/race/tokyo/course/	2026-09-10	current_reference	Course; Home straight; Starting point; Course circumference; Left-handed	JRA publishes course geometry including one-lap distance, straight distance, starting distances and left-handed course layout.
P0-SRC-019	Japan	JRA	official_glossary	競馬場などの施設、設備 — コーナー・発馬機・パドック・ゴール板	https://www.jra.go.jp/kouza/yougo/c10090_list.html	2026-09-10	current_reference	Turn; Starting gate; Paddock; Finish line; Home straight; Right-handed; Left-handed	JRA facility glossary defines corner/turn structure, starting gate and paddock; its goal-board explanation identifies the finish-line alignment used for photo-finish judgment, and it states current JRA main-course handedness.
P0-SRC-020	Japan	JRA	official_glossary	競馬用語辞典 — 埒	https://www.jra.go.jp/kouza/yougo/ra_list.html	2026-09-10	current_reference	Rail	JRA defines 埒 as each racecourse/course fence and distinguishes inner and outer rails.
P0-SRC-021	Australia	Racing Australia	official_free_fields	Race Fields / Nominations — Rail Position	https://www.racingaustralia.horse/FreeFields/Nominations.aspx	2026-09-10	current_2026	Rail position	Current Racing Australia race-meeting pages publish Rail Position as an operational course setting, including True Entire Circuit and shifted-rail configurations.
P0-SRC-022	Japan	JRA	official_rules	負担重量：競馬のルール	https://www.jra.go.jp/keiba/rules/weight.html	2026-09-10	current_reference	Weight carried; Handicap weight	JRA defines 負担重量 as rider+saddle etc. total carried weight and explains handicap races as assigning weights by ability/performance to equalise winning opportunity.
P0-SRC-023	GB	British Horseracing Authority	official_handicapping_education	How handicap weights are determined	https://www.britishhorseracing.com/races-can-horse-run-handicap-rating/	2026-09-10	current_reference	Weight-for-age; Allowance; Penalty	BHA explains the WFA scale, apprentice/conditional allowances and penalties as separate factors affecting weight carried.
P0-SRC-024	GB	British Horseracing Authority	official_race_type_glossary	Glossary of race types	https://www.britishhorseracing.com/regulation/glossary-of-race-types/	2026-09-10	current_reference	Weight-for-age; weight carried; penalties	BHA describes conditions/weight-for-age races and how race conditions allocate weight by WFA scale, gender and penalties.
P0-SRC-025	Japan	JRA	official_glossary	競馬用語辞典 — 減量制度	https://www.jra.go.jp/kouza/yougo/w574.html	2026-09-10	current_reference	Allowance	JRA defines current rider weight-reduction制度 and the amount deducted from each assigned weight in eligible races.
P0-SRC-026	GB	British Horseracing Authority	official_declaration_tracking	Transparent declaration tracking available on BHA Website	https://www.britishhorseracing.com/press_releases/transparent-declaration-tracking-available-on-bha-website/	2026-09-10	current_reference	Declaration; declaration to run; official declarations	BHA distinguishes the declaration stage from entries and states declarations become official after formal checking and publication. Added to repair the wave-2 audit reference that previously lacked a matching source-ledger row.
